rxn_id	fva_lb	fva_ub	rxn_name	lb	ub	rxn_formula	fva_pct	fva_req	fva_on
R4	16	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	50	TRUE	TRUE
R5	0	1.066666667	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	50	FALSE	TRUE
E1	-1	-0.5625	glucose exchange	-1	1000	glucose[c] <==> 	56.25	TRUE	TRUE
E2	0	0.933333333	lactate exchange	0	1000	lactate[c] --> 	56.25	FALSE	TRUE
E3	-6	-3.2	O2 exchange	-1000	1000	O2[c] <==> 	56.25	TRUE	TRUE
E4	3.2	6	H2O exchange	-1000	1000	H2O[c] <==> 	56.25	TRUE	TRUE
E5	3.2	6	CO2 exchange	-1000	1000	CO2[c] <==> 	56.25	TRUE	TRUE
R1	0.5625	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	56.25	TRUE	TRUE
R2	1.066666667	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	56.25	TRUE	TRUE
R3	14.933333333	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	56.25	TRUE	TRUE
R4	18	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	56.25	TRUE	TRUE
R5	0	0.933333333	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	56.25	FALSE	TRUE
E1	-1	-0.625	glucose exchange	-1	1000	glucose[c] <==> 	62.5	TRUE	TRUE
E2	0	0.8	lactate exchange	0	1000	lactate[c] --> 	62.5	FALSE	TRUE
E3	-6	-3.6	O2 exchange	-1000	1000	O2[c] <==> 	62.5	TRUE	TRUE
E4	3.6	6	H2O exchange	-1000	1000	H2O[c] <==> 	62.5	TRUE	TRUE
E5	3.6	6	CO2 exchange	-1000	1000	CO2[c] <==> 	62.5	TRUE	TRUE
R1	0.625	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	62.5	TRUE	TRUE
R2	1.2	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	62.5	TRUE	TRUE
R3	16.8	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	62.5	TRUE	TRUE
R4	20	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	62.5	TRUE	TRUE
R5	0	0.8	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	62.5	FALSE	TRUE
E1	-1	-0.6875	glucose exchange	-1	1000	glucose[c] <==> 	68.75	TRUE	TRUE
E2	0	0.666666667	lactate exchange	0	1000	lactate[c] --> 	68.75	FALSE	TRUE
E3	-6	-4	O2 exchange	-1000	1000	O2[c] <==> 	68.75	TRUE	TRUE
E4	4	6	H2O exchange	-1000	1000	H2O[c] <==> 	68.75	TRUE	TRUE
E5	4	6	CO2 exchange	-1000	1000	CO2[c] <==> 	68.75	TRUE	TRUE
R1	0.6875	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	68.75	TRUE	TRUE
R2	1.333333333	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	68.75	TRUE	TRUE
R3	18.666666667	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	68.75	TRUE	TRUE
R4	22	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	68.75	TRUE	TRUE
R5	0	0.666666667	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	68.75	FALSE	TRUE
E1	-1	-0.75	glucose exchange	-1	1000	glucose[c] <==> 	75	TRUE	TRUE
E2	0	0.533333333	lactate exchange	0	1000	lactate[c] --> 	75	FALSE	TRUE
E3	-6	-4.4	O2 exchange	-1000	1000	O2[c] <==> 	75	TRUE	TRUE
E4	4.4	6	H2O exchange	-1000	1000	H2O[c] <==> 	75	TRUE	TRUE
E5	4.4	6	CO2 exchange	-1000	1000	CO2[c] <==> 	75	TRUE	TRUE
